Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2010/10/26,7:30p,Miami Heat,80.0,Boston Celtics,88.0,,"18,624",TD Garden,Tuesday
2010/10/26,10:00p,Phoenix Suns,92.0,Portland Trail Blazers,106.0,,"20,603",Rose Garden Arena,Tuesday
2010/10/26,10:30p,Houston Rockets,110.0,Los Angeles Lakers,112.0,,"18,997",STAPLES Center,Tuesday
2010/10/27,7:00p,Boston Celtics,87.0,Cleveland Cavaliers,95.0,,"20,562",Quicken Loans Arena,Wednesday
2010/10/27,7:00p,New York Knicks,98.0,Toronto Raptors,93.0,,"18,722",Air Canada Centre,Wednesday
2010/10/27,7:00p,Miami Heat,97.0,Philadelphia 76ers,87.0,,"20,389",Wells Fargo Center,Wednesday
2010/10/27,7:00p,Detroit Pistons,98.0,New Jersey Nets,101.0,,"15,178",Prudential Center,Wednesday
2010/10/27,8:00p,Chicago Bulls,95.0,Oklahoma City Thunder,106.0,,"18,203",Chesapeake Energy Arena,Wednesday
2010/10/27,8:00p,Milwaukee Bucks,91.0,New Orleans Hornets,95.0,,"15,039",New Orleans Arena,Wednesday
2010/10/27,8:00p,Sacramento Kings,117.0,Minnesota Timberwolves,116.0,,"17,067",Target Center,Wednesday
2010/10/27,8:00p,Atlanta Hawks,119.0,Memphis Grizzlies,104.0,,"17,519",FedEx Forum,Wednesday
2010/10/27,8:30p,Indiana Pacers,109.0,San Antonio Spurs,122.0,,"18,581",AT&T Center,Wednesday
2010/10/27,8:30p,Charlotte Bobcats,86.0,Dallas Mavericks,101.0,,"19,440",American Airlines Center,Wednesday
2010/10/27,9:00p,Utah Jazz,88.0,Denver Nuggets,110.0,,"19,155",Pepsi Center,Wednesday
2010/10/27,10:30p,Portland Trail Blazers,98.0,Los Angeles Clippers,88.0,,"18,382",STAPLES Center,Wednesday
2010/10/27,10:30p,Houston Rockets,128.0,Golden State Warriors,132.0,,"18,428",Oracle Arena,Wednesday
2010/10/28,8:00p,Washington Wizards,83.0,Orlando Magic,112.0,,"18,918",Amway Center,Thursday
2010/10/28,10:30p,Phoenix Suns,110.0,Utah Jazz,94.0,,"19,911",EnergySolutions Arena,Thursday
2010/10/29,7:00p,Indiana Pacers,104.0,Charlotte Bobcats,101.0,,"18,351",Time Warner Cable Arena,Friday
2010/10/29,7:00p,Cleveland Cavaliers,81.0,Toronto Raptors,101.0,,"15,711",Air Canada Centre,Friday
2010/10/29,7:00p,Atlanta Hawks,104.0,Philadelphia 76ers,101.0,,"10,960",Wells Fargo Center,Friday
2010/10/29,7:00p,Sacramento Kings,100.0,New Jersey Nets,106.0,,"13,482",Prudential Center,Friday
2010/10/29,7:30p,New York Knicks,101.0,Boston Celtics,105.0,,"18,624",TD Garden,Friday
2010/10/29,8:00p,Oklahoma City Thunder,105.0,Detroit Pistons,104.0,,"22,076",The Palace of Auburn Hills,Friday
2010/10/29,8:00p,Denver Nuggets,95.0,New Orleans Hornets,101.0,,"12,474",New Orleans Arena,Friday
2010/10/29,8:00p,Orlando Magic,70.0,Miami Heat,96.0,,"19,600",AmericanAirlines Arena,Friday
2010/10/29,8:00p,Milwaukee Bucks,85.0,Minnesota Timberwolves,96.0,,"17,197",Target Center,Friday
2010/10/29,8:30p,Memphis Grizzlies,91.0,Dallas Mavericks,90.0,,"20,060",American Airlines Center,Friday
2010/10/29,10:30p,Los Angeles Clippers,91.0,Golden State Warriors,109.0,,"17,408",Oracle Arena,Friday
2010/10/29,10:30p,Los Angeles Lakers,114.0,Phoenix Suns,106.0,,"18,422",US Airways Center,Friday
2010/10/30,7:00p,Washington Wizards,95.0,Atlanta Hawks,99.0,,"18,729",Philips Arena,Saturday
2010/10/30,7:30p,Portland Trail Blazers,100.0,New York Knicks,95.0,,"19,763",Madison Square Garden (IV),Saturday
2010/10/30,7:30p,Sacramento Kings,107.0,Cleveland Cavaliers,104.0,,"20,562",Quicken Loans Arena,Saturday
2010/10/30,8:00p,Philadelphia 76ers,86.0,Indiana Pacers,99.0,,"18,165",Conseco Fieldhouse,Saturday
2010/10/30,8:00p,Minnesota Timberwolves,89.0,Memphis Grizzlies,109.0,,"12,753",FedEx Forum,Saturday
2010/10/30,8:00p,Detroit Pistons,91.0,Chicago Bulls,101.0,,"21,038",United Center,Saturday
2010/10/30,8:30p,Denver Nuggets,107.0,Houston Rockets,94.0,,"18,161",Toyota Center,Saturday
2010/10/30,8:30p,Charlotte Bobcats,88.0,Milwaukee Bucks,98.0,,"16,519",Bradley Center,Saturday
