Date,Start_time,Visitor,PTS (V),Home,PTS (H),OT,Attendance,Arena,Week_Day
2011/12/25,12:00p,Boston Celtics,104.0,New York Knicks,106.0,,"19,763",Madison Square Garden (IV),Sunday
2011/12/25,2:30p,Miami Heat,105.0,Dallas Mavericks,94.0,,"20,421",American Airlines Center,Sunday
2011/12/25,5:00p,Chicago Bulls,88.0,Los Angeles Lakers,87.0,,"18,997",STAPLES Center,Sunday
2011/12/25,8:00p,Orlando Magic,89.0,Oklahoma City Thunder,97.0,,"18,203",Chesapeake Energy Arena,Sunday
2011/12/25,10:30p,Los Angeles Clippers,105.0,Golden State Warriors,86.0,,"19,596",Oracle Arena,Sunday
2011/12/26,7:00p,Toronto Raptors,104.0,Cleveland Cavaliers,96.0,,"20,562",Quicken Loans Arena,Monday
2011/12/26,7:00p,New Jersey Nets,90.0,Washington Wizards,84.0,,"17,102",Verizon Center,Monday
2011/12/26,7:00p,Houston Rockets,95.0,Orlando Magic,104.0,,"18,846",Amway Center,Monday
2011/12/26,7:00p,Detroit Pistons,79.0,Indiana Pacers,91.0,,"18,165",Bankers Life Fieldhouse,Monday
2011/12/26,7:00p,Milwaukee Bucks,95.0,Charlotte Bobcats,96.0,,"17,173",Time Warner Cable Arena,Monday
2011/12/26,8:00p,Oklahoma City Thunder,104.0,Minnesota Timberwolves,100.0,,"19,406",Target Center,Monday
2011/12/26,8:30p,Denver Nuggets,115.0,Dallas Mavericks,93.0,,"20,408",American Airlines Center,Monday
2011/12/26,8:30p,Memphis Grizzlies,82.0,San Antonio Spurs,95.0,,"18,581",AT&T Center,Monday
2011/12/26,9:00p,New Orleans Hornets,85.0,Phoenix Suns,84.0,,"17,776",US Airways Center,Monday
2011/12/26,10:00p,Philadelphia 76ers,103.0,Portland Trail Blazers,107.0,,"20,509",Rose Garden Arena,Monday
2011/12/26,10:00p,Los Angeles Lakers,91.0,Sacramento Kings,100.0,,"17,317",Power Balance Pavilion,Monday
2011/12/26,10:30p,Chicago Bulls,91.0,Golden State Warriors,99.0,,"19,596",Oracle Arena,Monday
2011/12/27,7:30p,Atlanta Hawks,106.0,New Jersey Nets,70.0,,"18,711",Prudential Center,Tuesday
2011/12/27,8:00p,Boston Celtics,107.0,Miami Heat,115.0,,"20,166",AmericanAirlines Arena,Tuesday
2011/12/27,8:30p,Minnesota Timberwolves,95.0,Milwaukee Bucks,98.0,,"17,352",Bradley Center,Tuesday
2011/12/27,10:00p,Sacramento Kings,79.0,Portland Trail Blazers,101.0,,"20,350",Rose Garden Arena,Tuesday
2011/12/27,10:30p,Utah Jazz,71.0,Los Angeles Lakers,96.0,,"18,997",STAPLES Center,Tuesday
2011/12/28,6:00p,Indiana Pacers,90.0,Toronto Raptors,85.0,,"19,800",Air Canada Centre,Wednesday
2011/12/28,7:00p,Miami Heat,96.0,Charlotte Bobcats,95.0,,"19,614",Time Warner Cable Arena,Wednesday
2011/12/28,7:30p,Washington Wizards,83.0,Atlanta Hawks,101.0,,"17,750",Philips Arena,Wednesday
2011/12/28,7:30p,Cleveland Cavaliers,105.0,Detroit Pistons,89.0,,"22,076",The Palace of Auburn Hills,Wednesday
2011/12/28,8:00p,Boston Celtics,78.0,New Orleans Hornets,97.0,,"17,802",New Orleans Arena,Wednesday
2011/12/28,8:00p,Oklahoma City Thunder,98.0,Memphis Grizzlies,95.0,,"18,119",FedEx Forum,Wednesday
2011/12/28,8:30p,Los Angeles Clippers,90.0,San Antonio Spurs,115.0,,"18,581",AT&T Center,Wednesday
2011/12/28,9:00p,Philadelphia 76ers,103.0,Phoenix Suns,83.0,,"16,360",US Airways Center,Wednesday
2011/12/28,9:00p,Utah Jazz,100.0,Denver Nuggets,117.0,,"19,155",Pepsi Center,Wednesday
2011/12/28,10:30p,New York Knicks,78.0,Golden State Warriors,92.0,,"19,596",Oracle Arena,Wednesday
2011/12/29,7:00p,New Jersey Nets,78.0,Orlando Magic,94.0,,"18,954",Amway Center,Thursday
2011/12/29,8:00p,San Antonio Spurs,85.0,Houston Rockets,105.0,,"18,267",Toyota Center,Thursday
2011/12/29,8:00p,Dallas Mavericks,102.0,Oklahoma City Thunder,104.0,,"18,203",Chesapeake Energy Arena,Thursday
2011/12/29,10:00p,Denver Nuggets,102.0,Portland Trail Blazers,111.0,,"20,531",Rose Garden Arena,Thursday
2011/12/29,10:00p,Chicago Bulls,108.0,Sacramento Kings,98.0,,"17,317",Power Balance Pavilion,Thursday
2011/12/29,10:30p,New York Knicks,82.0,Los Angeles Lakers,99.0,,"18,997",STAPLES Center,Thursday
2011/12/30,7:00p,Orlando Magic,100.0,Charlotte Bobcats,79.0,,"18,064",Time Warner Cable Arena,Friday
2011/12/30,7:00p,Cleveland Cavaliers,91.0,Indiana Pacers,98.0,OT,"13,004",Bankers Life Fieldhouse,Friday
2011/12/30,7:30p,New Jersey Nets,98.0,Atlanta Hawks,105.0,,"16,300",Philips Arena,Friday
2011/12/30,7:30p,Detroit Pistons,85.0,Boston Celtics,96.0,,"18,624",TD Garden,Friday
2011/12/30,8:00p,Phoenix Suns,93.0,New Orleans Hornets,78.0,,"15,790",New Orleans Arena,Friday
2011/12/30,8:00p,Houston Rockets,93.0,Memphis Grizzlies,113.0,,"16,069",FedEx Forum,Friday
2011/12/30,8:00p,Miami Heat,103.0,Minnesota Timberwolves,101.0,,"19,356",Target Center,Friday
2011/12/30,8:30p,Toronto Raptors,86.0,Dallas Mavericks,99.0,,"20,307",American Airlines Center,Friday
2011/12/30,8:30p,Washington Wizards,81.0,Milwaukee Bucks,102.0,,"17,065",Bradley Center,Friday
2011/12/30,9:00p,Philadelphia 76ers,99.0,Utah Jazz,102.0,,"19,911",EnergySolutions Arena,Friday
2011/12/30,10:30p,Chicago Bulls,114.0,Los Angeles Clippers,101.0,,"19,426",STAPLES Center,Friday
2011/12/31,3:30p,Denver Nuggets,89.0,Los Angeles Lakers,92.0,,"18,997",STAPLES Center,Saturday
2011/12/31,6:00p,Indiana Pacers,88.0,Detroit Pistons,96.0,,"8,824",The Palace of Auburn Hills,Saturday
2011/12/31,7:00p,Atlanta Hawks,84.0,Houston Rockets,95.0,,"14,390",Toyota Center,Saturday
2011/12/31,8:00p,Phoenix Suns,97.0,Oklahoma City Thunder,107.0,,"18,203",Chesapeake Energy Arena,Saturday
2011/12/31,8:00p,New York Knicks,114.0,Sacramento Kings,92.0,,"16,175",Power Balance Pavilion,Saturday
2011/12/31,8:30p,Utah Jazz,89.0,San Antonio Spurs,104.0,,"17,769",AT&T Center,Saturday
2011/12/31,9:00p,Philadelphia 76ers,107.0,Golden State Warriors,79.0,,"19,084",Oracle Arena,Saturday
2012/01/01,6:00p,New Jersey Nets,82.0,Cleveland Cavaliers,98.0,,"15,084",Quicken Loans Arena,Sunday
2012/01/01,6:00p,Charlotte Bobcats,90.0,Miami Heat,129.0,,"20,016",AmericanAirlines Arena,Sunday
2012/01/01,6:00p,Toronto Raptors,96.0,Orlando Magic,102.0,,"18,846",Amway Center,Sunday
2012/01/01,6:00p,Boston Celtics,94.0,Washington Wizards,86.0,,"17,458",Verizon Center,Sunday
2012/01/01,7:00p,Dallas Mavericks,82.0,Minnesota Timberwolves,99.0,,"15,115",Target Center,Sunday
2012/01/01,8:00p,Memphis Grizzlies,64.0,Chicago Bulls,104.0,,"22,763",United Center,Sunday
2012/01/01,8:00p,Los Angeles Lakers,90.0,Denver Nuggets,99.0,,"19,155",Pepsi Center,Sunday
2012/01/01,9:00p,New Orleans Hornets,80.0,Sacramento Kings,96.0,,"13,628",Power Balance Pavilion,Sunday
2012/01/01,9:30p,Portland Trail Blazers,88.0,Los Angeles Clippers,93.0,,"19,060",STAPLES Center,Sunday
2012/01/02,3:30p,Golden State Warriors,91.0,Phoenix Suns,102.0,,"14,793",US Airways Center,Monday
2012/01/02,7:30p,Washington Wizards,92.0,Boston Celtics,100.0,,"18,624",TD Garden,Monday
2012/01/02,7:30p,Orlando Magic,78.0,Detroit Pistons,89.0,,"8,120",The Palace of Auburn Hills,Monday
2012/01/02,7:30p,Atlanta Hawks,100.0,Miami Heat,92.0,,"20,078",AmericanAirlines Arena,Monday
2012/01/02,7:30p,Indiana Pacers,108.0,New Jersey Nets,94.0,,"12,519",Prudential Center,Monday
2012/01/02,7:30p,Toronto Raptors,90.0,New York Knicks,85.0,,"19,763",Madison Square Garden (IV),Monday
2012/01/02,8:00p,San Antonio Spurs,96.0,Minnesota Timberwolves,106.0,,"14,514",Target Center,Monday
2012/01/02,8:30p,Oklahoma City Thunder,87.0,Dallas Mavericks,100.0,,"20,108",American Airlines Center,Monday
2012/01/02,9:00p,Milwaukee Bucks,86.0,Denver Nuggets,91.0,,"14,142",Pepsi Center,Monday
2012/01/02,9:00p,New Orleans Hornets,90.0,Utah Jazz,94.0,,"19,159",EnergySolutions Arena,Monday
2012/01/03,7:00p,Charlotte Bobcats,101.0,Cleveland Cavaliers,115.0,,"14,173",Quicken Loans Arena,Tuesday
2012/01/03,8:00p,Atlanta Hawks,74.0,Chicago Bulls,76.0,,"22,166",United Center,Tuesday
2012/01/03,8:00p,Sacramento Kings,96.0,Memphis Grizzlies,113.0,,"12,391",FedEx Forum,Tuesday
2012/01/03,8:00p,Portland Trail Blazers,103.0,Oklahoma City Thunder,93.0,,"18,203",Chesapeake Energy Arena,Tuesday
2012/01/03,9:00p,Milwaukee Bucks,73.0,Utah Jazz,85.0,,"17,756",EnergySolutions Arena,Tuesday
2012/01/03,10:30p,Houston Rockets,99.0,Los Angeles Lakers,108.0,,"18,997",STAPLES Center,Tuesday
2012/01/04,7:00p,Washington Wizards,85.0,Orlando Magic,103.0,,"18,846",Amway Center,Wednesday
2012/01/04,7:00p,Cleveland Cavaliers,77.0,Toronto Raptors,92.0,,"14,468",Air Canada Centre,Wednesday
2012/01/04,7:30p,New Jersey Nets,70.0,Boston Celtics,89.0,,"18,624",TD Garden,Wednesday
2012/01/04,7:30p,Chicago Bulls,99.0,Detroit Pistons,83.0,,"9,125",The Palace of Auburn Hills,Wednesday
2012/01/04,7:30p,Indiana Pacers,83.0,Miami Heat,118.0,,"20,201",AmericanAirlines Arena,Wednesday
2012/01/04,7:30p,Charlotte Bobcats,118.0,New York Knicks,110.0,,"19,763",Madison Square Garden (IV),Wednesday
2012/01/04,8:00p,Memphis Grizzlies,90.0,Minnesota Timberwolves,86.0,,"17,404",Target Center,Wednesday
2012/01/04,8:00p,Philadelphia 76ers,101.0,New Orleans Hornets,93.0,,"12,387",New Orleans Arena,Wednesday
2012/01/04,8:30p,Phoenix Suns,89.0,Dallas Mavericks,98.0,,"19,885",American Airlines Center,Wednesday
2012/01/04,8:30p,Golden State Warriors,95.0,San Antonio Spurs,101.0,,"16,751",AT&T Center,Wednesday
2012/01/04,9:00p,Sacramento Kings,83.0,Denver Nuggets,110.0,,"14,562",Pepsi Center,Wednesday
2012/01/04,10:30p,Houston Rockets,89.0,Los Angeles Clippers,117.0,,"19,060",STAPLES Center,Wednesday
2012/01/05,8:00p,Miami Heat,116.0,Atlanta Hawks,109.0,3OT,"18,371",Philips Arena,Thursday
2012/01/05,8:30p,Dallas Mavericks,71.0,San Antonio Spurs,93.0,,"18,581",AT&T Center,Thursday
2012/01/05,10:00p,Milwaukee Bucks,100.0,Sacramento Kings,103.0,,"11,813",Power Balance Pavilion,Thursday
2012/01/05,10:30p,Los Angeles Lakers,96.0,Portland Trail Blazers,107.0,,"20,444",Rose Garden Arena,Thursday
2012/01/06,7:00p,Atlanta Hawks,102.0,Charlotte Bobcats,96.0,OT,"17,827",Time Warner Cable Arena,Friday
2012/01/06,7:00p,Detroit Pistons,73.0,Philadelphia 76ers,96.0,,"19,408",Wells Fargo Center,Friday
2012/01/06,7:00p,New Jersey Nets,97.0,Toronto Raptors,85.0,,"16,771",Air Canada Centre,Friday
2012/01/06,7:00p,New York Knicks,99.0,Washington Wizards,96.0,,"16,998",Verizon Center,Friday
2012/01/06,7:30p,Indiana Pacers,87.0,Boston Celtics,74.0,,"18,624",TD Garden,Friday
2012/01/06,8:00p,Cleveland Cavaliers,98.0,Minnesota Timberwolves,87.0,,"16,943",Target Center,Friday
2012/01/06,8:00p,Denver Nuggets,96.0,New Orleans Hornets,88.0,,"13,035",New Orleans Arena,Friday
2012/01/06,8:00p,Houston Rockets,94.0,Oklahoma City Thunder,109.0,,"18,203",Chesapeake Energy Arena,Friday
2012/01/06,8:00p,Chicago Bulls,97.0,Orlando Magic,83.0,,"18,912",Amway Center,Friday
2012/01/06,9:00p,Memphis Grizzlies,85.0,Utah Jazz,94.0,,"19,503",EnergySolutions Arena,Friday
2012/01/06,10:30p,Golden State Warriors,90.0,Los Angeles Lakers,97.0,,"18,997",STAPLES Center,Friday
2012/01/06,10:30p,Portland Trail Blazers,77.0,Phoenix Suns,102.0,,"16,235",US Airways Center,Friday
2012/01/07,7:00p,Chicago Bulls,94.0,Atlanta Hawks,109.0,,"17,112",Philips Arena,Saturday
2012/01/07,7:00p,Charlotte Bobcats,77.0,Indiana Pacers,99.0,,"17,226",Bankers Life Fieldhouse,Saturday
2012/01/07,7:30p,New York Knicks,103.0,Detroit Pistons,80.0,,"12,044",The Palace of Auburn Hills,Saturday
2012/01/07,7:30p,Miami Heat,101.0,New Jersey Nets,90.0,,"18,711",Prudential Center,Saturday
2012/01/07,8:00p,Oklahoma City Thunder,98.0,Houston Rockets,95.0,,"14,327",Toyota Center,Saturday
2012/01/07,8:00p,Toronto Raptors,62.0,Philadelphia 76ers,97.0,,"14,522",Wells Fargo Center,Saturday
2012/01/07,8:30p,Denver Nuggets,117.0,San Antonio Spurs,121.0,,"17,537",AT&T Center,Saturday
2012/01/07,9:00p,New Orleans Hornets,81.0,Dallas Mavericks,96.0,,"20,409",American Airlines Center,Saturday
2012/01/07,10:30p,Utah Jazz,88.0,Golden State Warriors,87.0,,"19,596",Oracle Arena,Saturday
2012/01/07,10:30p,Milwaukee Bucks,86.0,Los Angeles Clippers,92.0,,"19,229",STAPLES Center,Saturday
2012/01/08,1:00p,Minnesota Timberwolves,93.0,Washington Wizards,72.0,,"13,095",Verizon Center,Sunday
2012/01/08,6:00p,Orlando Magic,104.0,Sacramento Kings,97.0,,"14,150",Power Balance Pavilion,Sunday
2012/01/08,7:00p,San Antonio Spurs,96.0,Oklahoma City Thunder,108.0,,"18,203",Chesapeake Energy Arena,Sunday
2012/01/08,8:00p,Milwaukee Bucks,93.0,Phoenix Suns,109.0,,"13,420",US Airways Center,Sunday
2012/01/08,9:00p,Cleveland Cavaliers,78.0,Portland Trail Blazers,98.0,,"20,292",Rose Garden Arena,Sunday
2012/01/08,9:30p,Memphis Grizzlies,82.0,Los Angeles Lakers,90.0,,"18,997",STAPLES Center,Sunday
