,Date,Start (ET),Visitor/Neutral,PTS,Home/Neutral,PTS,,,Attend.,Arena,Notes
0,"Tue, Oct 27, 2009",7:30p,Boston Celtics,95,Cleveland Cavaliers,89,Box Score,,"20,562",Quicken Loans Arena,
1,"Tue, Oct 27, 2009",8:30p,Washington Wizards,102,Dallas Mavericks,91,Box Score,,"19,871",American Airlines Center,
2,"Tue, Oct 27, 2009",10:00p,Houston Rockets,87,Portland Trail Blazers,96,Box Score,,"20,403",Rose Garden Arena,
3,"Tue, Oct 27, 2009",10:30p,Los Angeles Clippers,92,Los Angeles Lakers,99,Box Score,,"18,997",STAPLES Center,
4,"Wed, Oct 28, 2009",7:00p,Indiana Pacers,109,Atlanta Hawks,120,Box Score,,"17,998",Philips Arena,
5,"Wed, Oct 28, 2009",7:00p,Cleveland Cavaliers,91,Toronto Raptors,101,Box Score,,"20,152",Air Canada Centre,
6,"Wed, Oct 28, 2009",7:00p,Philadelphia 76ers,106,Orlando Magic,120,Box Score,,"17,461",Amway Arena,
7,"Wed, Oct 28, 2009",7:30p,Charlotte Bobcats,59,Boston Celtics,92,Box Score,,"18,624",TD Garden,
8,"Wed, Oct 28, 2009",7:30p,New York Knicks,93,Miami Heat,115,Box Score,,"19,600",AmericanAirlines Arena,
9,"Wed, Oct 28, 2009",8:00p,Sacramento Kings,89,Oklahoma City Thunder,102,Box Score,,"18,203",Oklahoma City Arena,
10,"Wed, Oct 28, 2009",8:00p,New Orleans Hornets,96,San Antonio Spurs,113,Box Score,,"18,581",AT&T Center,
11,"Wed, Oct 28, 2009",8:00p,New Jersey Nets,93,Minnesota Timberwolves,95,Box Score,,"18,358",Target Center,
12,"Wed, Oct 28, 2009",8:00p,Detroit Pistons,96,Memphis Grizzlies,74,Box Score,,"17,212",FedEx Forum,
13,"Wed, Oct 28, 2009",10:30p,Phoenix Suns,109,Los Angeles Clippers,107,Box Score,,"15,974",STAPLES Center,
14,"Wed, Oct 28, 2009",10:30p,Houston Rockets,108,Golden State Warriors,107,Box Score,,"19,596",Oracle Arena,
15,"Wed, Oct 28, 2009",10:30p,Utah Jazz,105,Denver Nuggets,114,Box Score,,"19,155",Pepsi Center,
16,"Thu, Oct 29, 2009",8:00p,San Antonio Spurs,85,Chicago Bulls,92,Box Score,,"21,412",United Center,
17,"Thu, Oct 29, 2009",10:30p,Denver Nuggets,97,Portland Trail Blazers,94,Box Score,,"20,218",Rose Garden Arena,
18,"Fri, Oct 30, 2009",7:00p,New York Knicks,100,Charlotte Bobcats,102,Box Score,2OT,"18,624",Time Warner Cable Arena,
19,"Fri, Oct 30, 2009",7:00p,Milwaukee Bucks,86,Philadelphia 76ers,99,Box Score,,"14,638",Wachovia Center,
20,"Fri, Oct 30, 2009",7:30p,Washington Wizards,89,Atlanta Hawks,100,Box Score,,"17,079",Philips Arena,
21,"Fri, Oct 30, 2009",8:00p,Chicago Bulls,90,Boston Celtics,118,Box Score,,"18,624",TD Garden,
22,"Fri, Oct 30, 2009",8:00p,Sacramento Kings,92,New Orleans Hornets,97,Box Score,,"17,306",New Orleans Arena,
23,"Fri, Oct 30, 2009",8:00p,Orlando Magic,95,New Jersey Nets,85,Box Score,,"17,525",Izod Center,
24,"Fri, Oct 30, 2009",8:00p,Cleveland Cavaliers,104,Minnesota Timberwolves,87,Box Score,,"19,356",Target Center,
25,"Fri, Oct 30, 2009",8:00p,Toronto Raptors,107,Memphis Grizzlies,115,Box Score,,"10,563",FedEx Forum,
26,"Fri, Oct 30, 2009",8:00p,Miami Heat,96,Indiana Pacers,83,Box Score,,"18,165",Conseco Fieldhouse,
27,"Fri, Oct 30, 2009",8:00p,Oklahoma City Thunder,91,Detroit Pistons,83,Box Score,,"22,076",The Palace of Auburn Hills,
28,"Fri, Oct 30, 2009",9:00p,Los Angeles Clippers,98,Utah Jazz,111,Box Score,,"19,911",EnergySolutions Arena,
29,"Fri, Oct 30, 2009",10:00p,Golden State Warriors,101,Phoenix Suns,123,Box Score,,"18,422",US Airways Center,
30,"Fri, Oct 30, 2009",10:30p,Dallas Mavericks,94,Los Angeles Lakers,80,Box Score,,"18,997",STAPLES Center,
31,"Sat, Oct 31, 2009",7:00p,New Jersey Nets,104,Washington Wizards,123,Box Score,,"20,173",Verizon Center,
32,"Sat, Oct 31, 2009",7:30p,Charlotte Bobcats,79,Cleveland Cavaliers,90,Box Score,,"20,562",Quicken Loans Arena,
33,"Sat, Oct 31, 2009",7:30p,Philadelphia 76ers,141,New York Knicks,127,Box Score,OT,"19,763",Madison Square Garden (IV),
34,"Sat, Oct 31, 2009",8:30p,Portland Trail Blazers,107,Houston Rockets,111,Box Score,,"18,100",Toyota Center,
35,"Sat, Oct 31, 2009",8:30p,Detroit Pistons,85,Milwaukee Bucks,96,Box Score,,"15,095",Bradley Center,
36,"Sat, Oct 31, 2009",8:30p,Sacramento Kings,94,San Antonio Spurs,113,Box Score,,"16,966",AT&T Center,
37,"Sat, Oct 31, 2009",10:30p,Dallas Mavericks,93,Los Angeles Clippers,84,Box Score,,"13,626",STAPLES Center,
38,"Sun, Nov 1, 2009",1:00p,Orlando Magic,125,Toronto Raptors,116,Box Score,,"18,147",Air Canada Centre,
39,"Sun, Nov 1, 2009",6:00p,New Orleans Hornets,87,Boston Celtics,97,Box Score,,"18,624",TD Garden,
40,"Sun, Nov 1, 2009",6:00p,Chicago Bulls,87,Miami Heat,95,Box Score,,"15,865",AmericanAirlines Arena,
41,"Sun, Nov 1, 2009",7:00p,Portland Trail Blazers,83,Oklahoma City Thunder,74,Box Score,,"16,920",Oklahoma City Arena,
42,"Sun, Nov 1, 2009",8:00p,Memphis Grizzlies,123,Denver Nuggets,133,Box Score,,"15,823",Pepsi Center,
43,"Sun, Nov 1, 2009",8:00p,Minnesota Timberwolves,112,Phoenix Suns,120,Box Score,,"15,376",US Airways Center,
44,"Sun, Nov 1, 2009",9:30p,Atlanta Hawks,110,Los Angeles Lakers,118,Box Score,,"18,997",STAPLES Center,
